Method,indicator code,Average degree,Network diameter,Average path length,country
HVG,SP.POP.1564.TO,1.935483870967742,30.0,10.666666666666666,AUT
HVG,NY.GDP.MKTP.KD.ZG,3.4193548387096775,9.0,3.9935483870967743,BGD
HVG,GC.XPN.INTP.CN,9.806451612903226,6.0,2.1032258064516127,BGD
HVG,GC.XPN.TOTL.GD.ZS,5.032258064516129,12.0,4.344086021505376,BGD
HVG,NY.GDP.MKTP.CD,2.0,29.0,10.604301075268816,BGD
HVG,NY.GDP.PCAP.CD,2.3225806451612905,25.0,9.318279569892473,BGD
HVG,NY.GDP.PCAP.PP.CD,1.935483870967742,30.0,10.666666666666666,BGD
HVG,NY.GNS.ICTR.ZS,2.7096774193548385,19.0,8.055913978494624,BGD
HVG,NY.GDP.DEFL.KD.ZG,3.5483870967741935,6.0,3.2795698924731185,BGD
HVG,GC.XPN.INTP.ZS,3.2,9.0,4.47,BGD
HVG,SL.UEM.TOTL.ZS,3.7419354838709675,7.0,2.8774193548387097,BGD
HVG,FP.CPI.TOTL.ZG,3.3548387096774195,10.0,4.0,BGD
HVG,BX.KLT.DINV.CD.WD,2.967741935483871,14.0,5.389247311827957,BGD
HVG,FR.INR.LEND,3.096774193548387,12.0,4.445161290322581,BGD
HVG,FM.LBL.BMNY.GD.ZS,2.5806451612903225,21.0,8.206451612903226,BGD
HVG,CM.MKT.LCAP.GD.ZS,3.4193548387096775,8.0,3.421505376344086,BGD
HVG,FS.AST.PRVT.GD.ZS,2.5806451612903225,21.0,8.326881720430107,BGD
HVG,CM.MKT.TRAD.GD.ZS,3.4838709677419355,9.0,3.52258064516129,BGD
HVG,NE.EXP.GNFS.ZS,2.5806451612903225,20.0,7.393548387096774,BGD
HVG,NE.IMP.GNFS.ZS,2.903225806451613,16.0,6.1956989247311824,BGD
HVG,SL.TLF.ACTI.ZS,2.838709677419355,9.0,3.6086021505376342,BGD
HVG,EN.ATM.CO2E.PC,2.193548387096774,27.0,9.855913978494623,BGD
HVG,EG.ELC.RNWX.ZS,2.193548387096774,26.0,10.098924731182796,BGD
HVG,AG.PRD.FOOD.XD,2.3225806451612905,24.0,9.0,BGD
HVG,AG.LND.FRST.ZS,1.935483870967742,30.0,10.666666666666666,BGD
HVG,FS.AST.PRVT.GD.ZS.1,2.5806451612903225,21.0,8.326881720430107,BGD
HVG,TG.VAL.TOTL.GD.ZS,2.5806451612903225,20.0,7.526881720430108,BGD
HVG,GC.XPN.TOTL.GD.ZS.1,5.032258064516129,12.0,4.344086021505376,BGD
HVG,MS.MIL.XPND.GD.ZS,3.2903225806451615,11.0,4.356989247311828,BGD
HVG,GC.NFN.TOTL.GD.ZS,3.0476190476190474,8.0,3.657142857142857,BGD
HVG,GC.NLD.TOTL.GD.ZS,3.04,10.0,4.3133333333333335,BGD
HVG,GC.REV.XGRT.GD.ZS,6.129032258064516,7.0,2.9935483870967743,BGD
HVG,GC.TAX.TOTL.GD.ZS,5.935483870967742,10.0,3.539784946236559,BGD
HVG,TG.VAL.TOTL.GD.ZS.1,2.5806451612903225,20.0,7.526881720430108,BGD
